Brand,Model,1-Core Pts,2-Core Pts,4-Core Pts,8-Core Pts,64-Core Pts,Samples,Age (months),Current Price (USD),Seller
AMD,Phenom II X4 B65,62.2,124,232,235,238,221,97,,
AMD,Phenom II X4 965,61.9,123,232,234,236,43000,158,,
AMD,Athlon II X4 870K,67,131,232,235,235,2000,73,,
AMD,A8-6600K APU,71.2,134,230,233,235,21000,99,,
AMD,A10-7850K APU (2014 D.Ka),68.1,130,229,234,235,15000,100,,
AMD,A8-9600 APU (2016 D.BR),66.3,128,227,233,233,11000,55,,
AMD,A12-9800E APU (2016 M.BR),68,129,222,229,232,606,55,,
AMD,Athlon II X4 860K,67.4,130,230,232,232,26000,93,,
AMD,A10-6700 APU (2013 D.Ri),71.4,134,228,231,231,11000,106,,
AMD,Phenom II X4 B55,60.7,121,225,228,230,3100,100,,
AMD,FX-4300,68.3,129,226,230,230,56000,115,,
AMD,A10-6790K APU (2013 D.Ri),70.6,132,225,227,228,1800,92,,
AMD,A10-5800K APU (2012 D.Tr),70.2,131,226,229,228,19000,115,,
AMD,Phenom II X4 B60,60.9,121,223,225,227,1300,98,,
AMD,Athlon II X4 760K (2013 D.Ri),69.2,130,222,225,226,6300,95,,
AMD,Ryzen 3 2200U,72.9,133,219,225,226,15000,48,,
AMD,FX-4170 Quad-Core,68.7,127,219,224,225,4100,101,,
AMD,A10-7700K APU (2014 D.Ka),64.3,123,220,223,224,11000,96,,
AMD,A8-7670K APU (2014 D.Ka),64.6,123,218,222,224,1600,78,,
AMD,A10-7860K APU (2014 D.Ka),66.1,125,220,221,223,12000,73,,
AMD,Phenom II X4 955,58.4,117,219,222,223,45000,158,,
AMD,A10-9700E APU (2016 D.BR),64.2,122,215,221,222,292,55,,
AMD,Phenom II X4 850,58.1,115,217,220,222,1300,99,,
AMD,Phenom II X4 840,57.6,115,215,218,220,4600,99,,
AMD,Athlon II X4 555,58.1,116,215,216,219,115,93,,
AMD,A8-7600 APU (2014 D.Ka),63.6,121,214,217,217,27000,91,,
AMD,Phenom II X4 B50,57.5,115,213,215,216,3200,98,,
AMD,A8-6500 APU,67,126,213,215,216,6500,98,,
AMD,FX-9830P APU (2016 M.BR),63.6,120,210,215,216,4000,64,,
AMD,A8-5600K APU,65.8,123,211,215,216,15000,100,,
AMD,Ryzen 3 3200U,73.5,129,205,215,216,20000,36,,
AMD,A10-5800B APU (2012 D.Tr),67.7,125,211,215,215,1000,91,,
AMD,Athlon 300U,70.2,128,204,212,215,1500,33,,
AMD,A8-3870 APU,56.4,112,211,214,215,6600,99,,
AMD,FX-770K (2014 D.Ka),63.2,121,209,214,214,1500,88,,
AMD,A12-9730P APU (2016 M.BR),61.8,119,208,214,214,345,62,,
AMD,A10-7800 APU (2014 D.Ka),63.6,121,210,214,214,16000,92,,
AMD,Athlon II X4 651,55.9,111,208,211,213,975,99,,
AMD,Athlon II X4 645,55.5,111,207,211,213,5000,100,,
AMD,A8-7650K APU (2014 D.Ka),62.9,119,209,213,213,15000,84,,
AMD,Phenom II X4 960T,59.2,115,208,212,212,4100,100,,
AMD,FX-4100,62.8,119,204,208,211,29000,127,,
AMD,Phenom II X4 945,55,109,205,209,210,11000,101,,
AMD,FX-4130 Quad-Core,63.1,119,205,208,209,8500,100,,
AMD,Phenom II X4 B40,54.2,109,204,206,209,459,100,,
AMD,A8-7500 APU (2014 M.Ka),61.3,117,204,208,209,282,75,,
AMD,Athlon II X4 640,54.6,109,205,208,209,18000,101,70,Amazon
AMD,Phenom II X4 B45,55.2,110,204,206,207,1000,98,,
AMD,Athlon II X4 750K,65,120,202,205,206,5400,114,,
AMD,Phenom II X4 20,53.2,106,201,204,205,721,98,59,Amazon
AMD,A8-3850 APU,53.2,106,200,203,203,2900,98,,
AMD,Phenom II X4 840T,55.3,109,199,201,202,1000,96,,
AMD,A10-5700 APU (2012 D.Tr),64.5,119,200,201,202,6200,124,,
AMD,Athlon II X4 635,52.2,104,197,200,201,4900,101,,
AMD,Phenom II X4 940,53.3,105,198,200,200,3300,100,,
AMD,Athlon II X4 641,51.5,102,191,195,197,1000,100,,
AMD,Phenom II X4 830,50.8,102,193,196,196,1400,100,,
AMD,A10-9630P APU (2016 M.BR),55.9,107,187,194,196,559,65,,
AMD,A6-3670 APU,51.3,102,193,195,196,2300,98,,
AMD,A8-5500 APU,60.8,113,192,194,195,9400,99,,
AMD,Phenom II X4 920,50.6,100,189,192,193,1000,100,,
AMD,Athlon II X4 630,50.4,100,188,191,193,7200,101,,
AMD,Phenom II X4 925,50.1,99.8,189,192,193,4900,99,,
AMD,Athlon II X4 740K,59.2,109,184,187,188,4200,98,,
AMD,A12-9720P APU (2016 M.BR),58.9,106,182,186,188,16000,58,,
AMD,Athlon II X4 631,48.3,95.8,180,183,185,1300,99,,
AMD,Phenom II X4 910e,47.3,94.2,178,181,184,211,94,,
AMD,A6-3650 APU,48,95.6,179,182,183,2700,100,,
AMD,Athlon II X4 620,46.9,93.1,175,178,180,5700,99,,
AMD,Phenom II X4 810,46.8,93,175,178,179,2100,98,,
AMD,Phenom II X4 905e,45.9,91.8,174,176,178,340,99,,
AMD,Phenom 9950,45.3,90.7,172,174,176,2000,99,,
AMD,A10-9620P APU (2016 M.BR),54.4,97.8,167,173,176,5800,58,,
AMD,FX-9800P APU (2016 M.BR),55.3,98.8,168,173,174,2700,70,,
AMD,A8-3800 APU,46.1,90.7,168,171,172,1400,96,,
AMD,Athlon II X3 460,59.3,117,166,169,171,1000,97,,
AMD,Phenom 9850,43.6,86.7,166,168,170,2000,99,,
AMD,Athlon II X3 455,58.4,115,164,167,169,3600,100,,
AMD,A12-9700P APU (2016 M.BR),53,95.1,160,165,166,5500,70,,
