Brand,Model,1-Core Pts,2-Core Pts,4-Core Pts,8-Core Pts,64-Core Pts,Samples,Age (months),Current Price (USD),Seller
AMD,Athlon 64 3200 ,28.8,29.2,30.2,30.7,31.9,890,99,,
AMD,E-300 APU,16.3,30,31.3,32.2,31.8,7500,100,,
AMD,Sempron 3600 ,27.7,28,28.8,29.4,30.8,124,100,,
AMD,Athlon 64 3000 ,27,27.9,28.6,29.2,30.1,296,98,,
AMD,Turion 64 Mobile Technology ML-32,28.2,28.1,28.5,28.5,29.9,20,94,,
AMD,C-60 APU,15.3,27.7,28.7,29.5,29.5,2200,99,,
AMD,A4-1200 APU,14.7,26.5,27.7,29.1,28.7,474,100,,
AMD,Sempron 3400 ,25.3,25.8,27.1,27.8,28.4,235,96,,
AMD,E1-2100 APU,14.6,26.6,27.8,28.7,28.4,4500,96,,
AMD,A4-1250 APU,14.4,25,26.6,27.8,27.5,697,96,,
AMD,Sempron 3000 ,24.6,24.9,25.8,26.1,26.8,269,99,,
AMD,Sempron 2800 ,23.3,24.2,24.7,25.5,25.7,157,98,,
AMD,C-50,13,23.7,24.8,25.4,25.4,1600,99,,
AMD,Athlon Neo MV-40,21.6,21.9,22.7,23.2,24.1,208,93,,
AMD,Z-60 APU,13.1,23.5,25.3,25.4,23.7,5,92,,
AMD,Athlon 2650e,21.2,22.1,22.9,23.6,23.6,146,98,,
